"Cluster","Metabolite","Formula","Super_Class","Class","Sub_Class","HMDB","pct.1","pct.2","avg_log2FC","p_val","p_val_adj"
"胆管间隙 Bile Duct Gap","PGP(18:0/20:3(5Z,8Z,11Z)-O(14R,15S))","C44H80O14P2",NA,NA,NA,"HMDB0272496",51.1378848728246,52.2023071950004,-0.00221573151434923,0.985290936919093,1
"胆管间隙 Bile Duct Gap","PGP(18:0/20:3(6,8,11)-OH(5))","C44H82O14P2",NA,NA,NA,"HMDB0272598",29.8527443105756,30.4412022196482,-0.0106650560477343,0.662653507820306,1
"胆管间隙 Bile Duct Gap","PGP(18:0/20:4(6E,8Z,11Z,14Z)+=O(5))","C44H78O14P2",NA,NA,NA,"HMDB0272546",81.1244979919679,79.9495932440805,-0.0162803742161139,0.0555576391514037,1
"胆管间隙 Bile Duct Gap","PGP(18:0/PGE2)","C44H80O16P2",NA,NA,NA,"HMDB0272524",45.3815261044177,43.9131401018237,0.00984345122422597,0.655930692780962,1
"胆管间隙 Bile Duct Gap","PGP(18:1(11Z)/20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15))","C44H76O16P2",NA,NA,NA,"HMDB0272674",45.1137884872825,46.5814656681841,-0.0306451502148516,0.117894084886513,1
"胆管间隙 Bile Duct Gap","PGP(18:3(6Z,9Z,12Z)/20:4(6E,8Z,11Z,14Z)+=O(5))","C44H72O14P2",NA,NA,NA,"HMDB0273065",65.863453815261,63.7308743905396,0.0334406182944452,0.0531521553707258,1
"胆管间隙 Bile Duct Gap","PGP(18:3(6Z,9Z,12Z)/20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15))","C44H72O16P2",NA,NA,NA,"HMDB0273089",81.5261044176707,81.3530358537834,-0.0243729792960752,0.407668585955481,1
"胆管间隙 Bile Duct Gap","PGP(18:3(6Z,9Z,12Z)/22:6(5Z,7Z,10Z,13Z,16Z,19Z)-OH(4))","C46H74O14P2",NA,NA,NA,"HMDB0273095",45.2476572958501,44.2572663847211,-0.00180032052333645,0.771725175933134,1
"胆管间隙 Bile Duct Gap","PGP(18:3(6Z,9Z,12Z)/PGJ2)","C44H72O15P2",NA,NA,NA,"HMDB0273051",89.5582329317269,85.945202435148,0.0725545680094417,0.00438804498399637,1
"胆管间隙 Bile Duct Gap","PGP(20:1(11Z)/22:6(5Z,8E,10Z,13Z,15E,19Z)-2OH(7S, 17S))","C48H82O15P2",NA,NA,NA,"HMDB0273295",45.5153949129853,46.7494881879159,-0.0260930688022335,0.180486453728742,1
"胆管间隙 Bile Duct Gap","PGP(20:4(5Z,8Z,11Z,14Z)/20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15))","C46H74O16P2",NA,NA,NA,"HMDB0273712",68.9424364123159,64.485965573903,0.0350116813542766,0.0595642060424088,1
"胆管间隙 Bile Duct Gap","PGP(20:4(5Z,8Z,11Z,14Z)/22:6(5Z,7Z,10Z,13Z,16Z,19Z)-OH(4))","C48H76O14P2",NA,NA,NA,"HMDB0273718",47.5234270414993,48.9161032244161,-0.0468410784314693,0.00795069137358458,1
"胆管间隙 Bile Duct Gap","PGP(a-13:0/18:2(10E,12Z)+=O(9))","C37H68O14P2",NA,NA,NA,"HMDB0274316",85.5421686746988,84.2200253212294,0.00205873097010578,0.813535304738435,1
"胆管间隙 Bile Duct Gap","PGP(a-13:0/18:2(9Z,11Z))","C37H70O13P2","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerophosphates","HMDB0116513",68.0053547523427,66.0323451768445,0.0186857006291322,0.291844314866374,1
"胆管间隙 Bile Duct Gap","PGP(a-13:0/20:3(6,8,11)-OH(5))","C39H72O14P2",NA,NA,NA,"HMDB0274364",98.1258366800536,97.1895792365919,0.0399011036588284,0.152929192747102,1
